num,lon,lat
726,-54.875,-15.875
727,-53.875,-15.875
728,-53.625,-15.875
729,-53.375,-15.875
730,-52.375,-15.875
731,-52.125,-15.875
732,-51.875,-15.875
733,-51.625,-15.875
734,-51.375,-15.875
735,-51.125,-15.875
736,-50.875,-15.875
737,-50.625,-15.875
738,-50.375,-15.875
739,-50.125,-15.875
740,-49.875,-15.875
741,-49.625,-15.875
742,-49.375,-15.875
743,-49.125,-15.875
744,-48.875,-15.875
745,-48.625,-15.875
746,-48.125,-15.875
747,-47.875,-15.875
748,-47.625,-15.875
749,-47.375,-15.875
750,-47.125,-15.875
751,-46.875,-15.875
752,-46.625,-15.875
753,-46.375,-15.875
754,-46.125,-15.875
755,-45.875,-15.875
756,-45.625,-15.875
757,-56.875,-16.125
758,-56.625,-16.125
759,-55.375,-16.125
760,-55.125,-16.125
761,-54.875,-16.125
762,-53.875,-16.125
763,-53.625,-16.125
764,-53.375,-16.125
765,-53.125,-16.125
766,-52.875,-16.125
767,-52.375,-16.125
768,-52.125,-16.125
769,-51.875,-16.125
770,-51.625,-16.125
771,-51.375,-16.125
772,-51.125,-16.125
773,-50.875,-16.125
774,-50.125,-16.125
775,-49.875,-16.125
776,-49.625,-16.125
777,-49.375,-16.125
778,-49.125,-16.125
779,-48.875,-16.125
780,-48.625,-16.125
781,-48.375,-16.125
782,-48.125,-16.125
783,-47.875,-16.125
784,-47.625,-16.125
785,-47.375,-16.125
786,-47.125,-16.125
787,-46.625,-16.125
788,-46.375,-16.125
789,-46.125,-16.125
790,-45.875,-16.125
791,-45.625,-16.125
792,-45.125,-16.125
793,-55.375,-16.375
794,-55.125,-16.375
795,-54.875,-16.375
796,-54.625,-16.375
797,-53.875,-16.375
798,-53.625,-16.375
799,-53.375,-16.375
800,-53.125,-16.375
801,-52.875,-16.375
802,-52.625,-16.375
803,-52.375,-16.375
804,-52.125,-16.375
805,-51.875,-16.375
806,-51.625,-16.375
807,-51.375,-16.375
808,-51.125,-16.375
809,-50.875,-16.375
810,-50.625,-16.375
811,-50.375,-16.375
812,-50.125,-16.375
813,-49.875,-16.375
814,-49.625,-16.375
815,-49.375,-16.375
816,-49.125,-16.375
817,-48.875,-16.375
818,-48.625,-16.375
819,-48.375,-16.375
820,-48.125,-16.375
821,-47.875,-16.375
822,-47.625,-16.375
823,-47.375,-16.375
824,-47.125,-16.375
825,-46.875,-16.375
826,-46.625,-16.375
827,-46.375,-16.375
828,-46.125,-16.375
829,-45.875,-16.375
830,-45.625,-16.375
831,-45.375,-16.375
832,-45.125,-16.375
833,-54.875,-16.625
834,-54.625,-16.625
835,-54.375,-16.625
836,-54.125,-16.625
837,-53.875,-16.625
838,-53.625,-16.625
839,-52.875,-16.625
840,-52.625,-16.625
841,-52.375,-16.625
842,-52.125,-16.625
843,-51.875,-16.625
844,-51.375,-16.625
845,-51.125,-16.625
846,-50.625,-16.625
847,-50.375,-16.625
848,-50.125,-16.625
849,-49.875,-16.625
850,-49.625,-16.625
851,-49.375,-16.625
852,-49.125,-16.625
853,-48.875,-16.625
854,-48.625,-16.625
855,-48.375,-16.625
856,-48.125,-16.625
857,-47.875,-16.625
858,-47.625,-16.625
859,-47.375,-16.625
860,-47.125,-16.625
861,-46.875,-16.625
862,-46.625,-16.625
863,-46.375,-16.625
864,-46.125,-16.625
865,-45.875,-16.625
866,-45.125,-16.625
867,-54.875,-16.875
868,-54.625,-16.875
869,-54.375,-16.875
870,-54.125,-16.875
871,-53.875,-16.875
872,-53.625,-16.875
873,-53.375,-16.875
874,-53.125,-16.875
875,-52.625,-16.875
876,-51.875,-16.875
877,-51.625,-16.875
878,-51.125,-16.875
879,-50.875,-16.875
880,-50.625,-16.875
881,-50.375,-16.875
882,-50.125,-16.875
883,-49.875,-16.875
884,-49.625,-16.875
885,-49.375,-16.875
886,-49.125,-16.875
